id,created_at,load_type,volt,frequency,power_factor,current,power,energy
1217,2023-07-10T19:14:47+00:00,Orpat OEK-8137 Cordless kettle,234.0,50.0,1.0,5.8,1357.3,0.42
1219,2023-07-10T19:14:49+00:00,Orpat OEK-8137 Cordless kettle,234.3,50.0,1.0,5.81,1360.9,0.42
1221,2023-07-10T19:14:51+00:00,Orpat OEK-8137 Cordless kettle,234.5,50.0,1.0,5.81,1362.6,0.42
7,2023-07-10T18:16:38+00:00,Orpat Cordless kettle,242.3,50.0,0.04,0.05,0.5,0.12
9,2023-07-10T18:16:40+00:00,Orpat Cordless kettle,242.3,50.0,0.04,0.05,0.5,0.12
1223,2023-07-10T19:14:53+00:00,Orpat OEK-8137 Cordless kettle,234.7,50.0,1.0,5.82,1365.1,0.42
11,2023-07-10T18:16:42+00:00,Orpat Cordless kettle,242.4,50.0,0.04,0.05,0.5,0.12
13,2023-07-10T18:16:44+00:00,Orpat Cordless kettle,242.3,50.0,0.05,0.05,0.6,0.12
1225,2023-07-10T19:15:01+00:00,Orpat OEK-8137 Cordless kettle,238.0,50.0,0.05,0.05,0.6,0.44
15,2023-07-10T18:16:46+00:00,Orpat Cordless kettle,242.5,50.0,0.05,0.05,0.6,0.12
17,2023-07-10T18:16:48+00:00,Orpat Cordless kettle,242.4,50.0,0.04,0.05,0.5,0.12
1220,2023-07-10T19:14:49+00:00,2.4 AMP Mobile charger,234.5,50.0,0.42,0.1,9.5,0.19
19,2023-07-10T18:19:11+00:00,Orpat Cordless kettle,242.2,50.0,0.04,0.05,0.5,0.12
20,2023-07-10T18:19:11+00:00,Nova hair dryer,242.4,50.0,0.11,0.05,1.4,0.17
21,2023-07-10T18:19:13+00:00,Orpat Cordless kettle,242.3,49.9,0.05,0.05,0.6,0.12
22,2023-07-10T18:19:13+00:00,Nova hair dryer,242.4,50.0,0.11,0.05,1.4,0.17
23,2023-07-10T18:19:15+00:00,Orpat Cordless kettle,242.0,49.9,0.05,0.05,0.6,0.12
24,2023-07-10T18:19:15+00:00,Nova hair dryer,242.1,50.0,0.88,0.61,130.4,0.17
25,2023-07-10T18:19:17+00:00,Orpat Cordless kettle,242.0,49.9,0.04,0.05,0.5,0.12
26,2023-07-10T18:19:17+00:00,Nova hair dryer,242.3,50.0,0.88,0.61,130.5,0.17
27,2023-07-10T18:19:19+00:00,Orpat Cordless kettle,242.3,49.9,0.04,0.05,0.5,0.12
28,2023-07-10T18:19:19+00:00,Nova hair dryer,242.4,49.9,0.88,0.61,130.6,0.17
29,2023-07-10T18:19:21+00:00,Orpat Cordless kettle,242.2,50.0,0.04,0.05,0.5,0.12
